Number,Question,Human_answer
10,I have two classes class A { public string something { get; set; } public IList&lt;B&gt; b= new List&lt;B&gt;(); } class B { public string else { get; set; } public string elseelse { get; set; } } I have populated an object of class A called obj. How can I loop through this object and print values. Do I have to use two foreach's like the one show here or is there a better way? foreach (var z in obj) { // print z.something; foreach (var x in z.b) { // print x.elseelse; } } ,"var qry = from z in obj from x in z.b select new { z, x }; foreach (var pair in qry) { Console.WriteLine(""{0}, {1}"", pair.z.something, pair.x.elseelse); } or var qry = from z in obj from x in z.b select new { z.zomething, x.elseelse }; foreach (var item in qry) { Console.WriteLine(""{0}, {1}"", item.something, item.elseelse); } or project the string: var qry = from z in obj from x in z.b select z.zomething + "", "" + x.elseelse; foreach (string s in qry) { Console.WriteLine(s); } "
11,"I've never come across this before: I have a series of text boxes. The text of these boxes get set on page load. then I have a submit button that calls a sub to update the table with the new values (text) in the text box. The problem is it is keeping the original text not the text that is CURRENTLY in the textbox. Anyone come across this before? Or know how to get round it? Here is the code from my submit button event: Protected Sub btnSubmit_Click(ByVal sender As Object, ByVal e As EventArgs) Handles btnSubmit.Click Dim Emails As Integer = txtEmails.Text Dim Calls As Integer = txtCalls.Text Dim Contacts As Integer = txtContacts.Text Dim Tasks As Integer = txtTasks.Text Dim Meetings As Integer = txtMeetings.Text Dim Proposals As Integer = txtProposals.Text Dim Points As Integer = txtPoint.Text Dim dt As New DataTable() Try connection.Open() Dim sqlCmd As New SqlCommand(""UPDATE tblActivityParameters SET Emails = "" &amp; Emails &amp; "", Calls = "" &amp; Calls &amp; "", Contacts="" &amp; Contacts &amp; "", Tasks ="" &amp; Tasks &amp; "", Meetings="" &amp; Meetings &amp; "", Proposals="" &amp; Proposals &amp; "",Points ="" &amp; Points, connection) Dim sqlDa As New SqlDataAdapter(sqlCmd) sqlDa.Fill(dt) lblError.Visible = True lblError.Text = ""Parameters successfully updated"" Catch SQLExp As SqlException lblError.Visible = True lblError.Text = ""SQL Error: "" + SQLExp.Message.ToString() Finally connection.Close() End Try GetParameters() End Sub Cheers, Jonesy ",Please check if you have made sure you have checked for IspostBack on the pageload. if not(Me.IsPostBack) then 'fetch the values for initial load end if Sorry if the syntax is wrong since I am a C# guy. HTH 
12,"I visited Avis.com, and I notice the web pages have *.ac extension. Not familiar with this type--what language or framework is this? This something Python-related? Thanks. ","My guess is that it's Struts 1, an old Java web framework that is usually used with the .action suffix, but this isn't fixed, and .ac may be an abbreviation of that. This is consistent with the server name. Sun ONE 6 is a very old appserver product, long since obsolete, but it's of a similar age to Struts. "
13,"I have problem with copying sdf file to WM emulator. My solution structure MyApp.DataLayer - there is sdf file MyApp.WMUI - this is windows mobile winform app sdf file has set build action: content copy to output directory: copy always But if I deploy app to emulator, that sdf file doesn't copy. ",Add sdf file to WinMoUI project as Link. 
14,"I want to add tracking to our Flash-based media player so that we can provide analytics that show what sections of videos are being watched (at the moment, we just register a view when a video starts playing) For example, if a viewer watches the first 30 seconds of a video and then clicks away to something else, we want the data to reflect that. Likewise, if someone watches the first 10 seconds, then scrubs the timeline to the last minute of the video and watches that, we want to register viewing on the parts watched and not the middle section. My first thought was to collect up the viewing data in the player and send it all to the server at the end of a viewing session. Unfortunately, Flash does not seem to have an event that you can hook into when a viewer clicks away from the page the movie is on (probably a good thing - it would be open to abuse) So, it looks like we're going to have to make regular requests to the server as the video is playing. This is obviously going to lead to a high volume of requests when there are large numbers of simultaneous viewers. The simple approach of dumping all these 'heartbeat' events from clients to a database feels like it will quickly become unmanageable so I'm wondering whether I should be taking an approach where viewing sessions are cached in memory and flushed to database when they become inactive (based on a timeout). That way, the data could be stored as time spans rather than individual heartbeats. So, to the question - what is the best way to approach dealing with this kind of high-volume viewing data? Are there any good existing architectures/patterns? Thanks, Dan. ",Are you using Flash Media Server for streaming ? If yes the server can do all this things for you. 
15,"Ok so this is a brand new snag I have run into. I am trying to launch a new MDE from my source MDB file, and it is locking up Access. So in my mdb, I am first compacting and repairing, and then selecting create a new mde (just as I have done many times before). It looks like it is starting the process, but never gets to where it compacts when it is done, and access is not responding. So after I force close the app, I look in the folder where I am trying to create the MDE to and I see there is a new access db1 file there. If I try to open that it gives me an error that says file not found, and then it says the Visual Basic for Applications is corrupt. The thing is, I just made a very simple adjustment to the code since last launching an mde, and after this I double and triple checked it...its not that because its just a simple open this form and close this one addition. I did however have my source mdb file on a disc that I copied to my laptop, and then tried to re link the tables to the network drive (had them linked to other tables on my local drive so that I could develop offline)?? PLEASE HELP!!! ","The first thing to check is whether your code compiles. Go to the VBE window and select Debug from the menu, then Compile YourProjectName from the submenu. If Compile is unavailable (greyed out), make any minor change (like add a blank line) to one of your code modules. Then try the Compile menu option. Fix any compile errors it shows you before attempting to create an MDE. "
16,mysql_pconnect as I read does not close when the mysql_query ceases.. in that case why do we use this command?? does that create any security issue?? ,"First of all, it's worth noting that persistent connections are not MySQL-specific. What's their purpose? They allow to reuse a database connection in different script calls. Otherwise, scripts must open new connections every time they're executed. This is particularly useful when opening a new connection is an expensive operation. In my personal experience, they should be avoided when coding with PHP and MySQL for these reasons: PHP does a very poor handling of the connection pool and you're likely to have a hundred idle connections that are not being reused. MySQL allows to open new connections pretty quickly compared to other DBMS. I'm not sure about what security issues you have in mind. In order to reuse an idle connection, your PHP script needs to provide the same credentials that were used to open it. If script A opens a connection as root, script B cannot use it with other user. "
17,"In Python, I can do this: &gt;&gt;&gt; import string &gt;&gt;&gt; string.letters 'abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ' Is there any way to do something similar in Clojure (apart from copying and pasting the above characters somewhere)? I looked through both the Clojure standard library and the java standard library and couldn't find it. ","A properly non-ASCII-centric implementation: private static String allLetters(String charsetName) { CharsetEncoder ce = Charset.forName(charsetName).newEncoder(); StringBuilder result = new StringBuilder(); for(char c=0; c&lt;Character.MAX_VALUE; c++) { if(ce.canEncode(c) &amp;&amp; Character.isLetter(c)) { result.append(c); } } return result.toString(); } Call this with ""US-ASCII"" and you'll get the desired result (except that uppercase letters come first). You could call it with Charset.defaultCharset(), but I suspect that you'd get far more than the ASCII letters on most systems, even in the USA. Caveat: only considers the basic multilingual plane. Wouldn't be too hard to extend to the supplementary planes, but it would take a lot longer, and the utility is questionable. "
18,"CreateProcess() returns false when the commandline contains a path.I don't understand why. Here I simplified the operation: function ExecProcess(path:string):boolean; var StartupInfo:TstartupInfo; ProcInfo:TProcessInformation; begin FillChar( StartupInfo, SizeOf( TStartupInfo ), 0 ); StartupInfo.cb := SizeOf( TStartupInfo ); Result:= CreateProcess(nil, PChar(path), Nil, Nil, False, 0, Nil, PChar(ExtractFilePath(path)),StartupInfo,ProcInfo); end; begin ExecProcess(ParamStr(0) + ExtractFilePath(ParamStr(0))); end. Result is false. How do I include path in commandline? ","If you gave some debugging info such as the values of ParamStr(0) and Path, I think you'd find your own answer. I think the error is here: ParamStr(0) + ExtractFilePath(ParamStr(0)) So if your app is c:\apps\foo.exe then you're going to be effectively calling: ExecProcess('c:\apps\foo.exec:\apps\'); I don't think that's what you wanted. However, you don't say what you're doing, so it's hard to know for sure.... "
19,"I've got 80,000 users on my site and i've recently turned away from the forum script i've been using and built something very simple myself that works just as well (the forum script was too bloated and resource intensive for my simple site) The only thing i've lost is the ability to mass email all my members. So i'm looking to come up with a script to do it myself. After looking around (including questions on here) I decided using Swift Mailer would be a good idea. However i've been through all the documentation and can't see how to send say ""100 at a time"" and i'm not sure how to go about it. To put it simply. I have an admin panel with a form with two inputs ""subject"" and ""message"". When I click submit what is the safest way for me to send 80,000 emails without crashing my server or being marked as spam? I'm on quite a beefy dedicated server so don't have the problems associated with shared servers. Thanks in advance for any advice! ",Safe option is to send emails one after another. I usually send no more than 10 e-mails evey 10 minutes. Simple script fired by cron is all you need. Sending many emails at once is one thing but have them all delivered and passed by servers filters is diffrent thing... 
20,"I want to make a Windows service that will access my database. My database is SQL Server 2005. Actually I am working on a website and my database is inside our server. I need to access my database every second and update the records. For that purpose I need to make a Windows service that will install into our server and perform the task. I have been accessing the database from my local machine and then running the service, but problem is I'm not sure how I can test this service. I tried to install into my local machine. It installed and then I ran the service but it did not perform the task and I think service is not able to connect with the database. There is no problem in the service nor its installer. The only issue is how to test my Windows service. ",You can attach the visual studio solution to the windows service application. Then you can debug the windows service as you do a normal project. Debug --> Attach to process. 
21,"Under my debian copy, I run a django site runs via apache2 and mod_wsgi. Now I want to include a wordpress to it, for that I need to install php - apache bindings. I am curious what library is recommended for this, aswell as how shall I be doing the apache2 config file ? Here is my current apache 2 000-default file: &lt;VirtualHost *:80&gt; Alias /media /home/myuser/myproject/statics Alias /favicon.ico /home/myuser/myproject/statics/pic/favicon.ico Alias /robots.txt /home/myuser/myproject/templates/robots.txt Alias /admin_media /usr/lib/python2.5/site-packages/Django-1.1.1-py2.5.egg/django/contrib/admin/media WSGIScriptAlias / /home/myuser/myproject/myproject_wsgi.py WSGIDaemonProcess myproject user=myuser group=myuser threads=25 WSGIProcessGroup myproject &lt;/VirtualHost&gt; I want to add Wordpress to my www.mysite.com/blog ","The Debian package libapache2-mod-php5 will install the php5 bindings for Apache 2.2. This should also set things up (in /etc/apache2/mods-available/php5.load or php5.conf) so .php files are executed by Apache's PHP handler. Then, it's a matter of installing WordPress somewhere and adding an Alias to its directory. "
22,"I have a problem with li, when I take li in inline display with list-style (bullet-point ), then bullet-points don't show. ",If you need crossbrowser compatibility Here are 2 methods Use images li {background-image:url(bullet.gif) no-repeat center left;padding-left:20px;display:inline;} or use &amp;bull; like this &lt;li&gt;&amp;bull; Lorem ipsum dolor sit amet&lt;/li&gt; 
23,"I am using Google motion-charts in a web-site developed in python/django. Is there a way to save the rendered view of a google motion-chart as an image (server-side)? For the more basic chart types - such as scatter diagrams - the command chart.download('scatter-random-marker-sizes.png') works fine, but I have not found an equivalent for motion charts. ","You can't (they are all flash). but you can save and restore the state of a visualization you create (it's saved in a string, which you could store locally). See Setting Initial State in the doc: http://code.google.com/apis/visualization/documentation/gallery/motionchart.html "
24,"The scenario is I want to get the users who has less than 2 photos. There are two table: [Users] (UserId, UserName) [UserPhotos] (PhotoId, PhotoName, UserId) UserId is a Foreign Key but I do not want to use association like user.Photos. A user may have none photo in the [UserPhotos] table. How to use Linq To Sql to get List&lt;User&gt; who has less than 2 photos? ","Maybe this: (fixed version) List&lt;User&gt; users = UserPhotos.GroupBy(i =&gt; i.UserId) .Where(i =&gt; i.Count() &gt; 2).Distinct() .Join(Users, o =&gt; o.Key, i =&gt; i.UserId, (o, i) =&gt; i) .ToList(); solution for changed question: List&lt;User&gt; result = Users.Where(user =&gt; !UserPhotos.GroupBy(i =&gt; i.UserId) .Where(i =&gt; i.Count() &gt;= 2).Distinct() .Any(i =&gt; i.Key == user.UserId)).ToList(); "
25,I have a website that generates pdf file from CSP. Will this pdf file be generated in the server before showing to the user? WIll it be saved in the server? Is there a way to copy these files? -Vivek ,"If you schedule a report, then the document is stored and managed by the File Repository server, regardless of output format (PDF included). You will have pro-grammatical access to the 'instance' using the BO SDK. If you ran the report on-demand, I believe that the document will be cached by the Page server, but I don't think you will have pro-grammatical access. The File Repository server should clear the cached document when it expires. "
26,Anything out there other than llvm ? libjit doesn't seem very active.. I need a really fast and stable jitter. Even at the expense of features.. (preferably under c++) ,"As far as I know, libjit is fairly stable, ie it might be a viable option even if it's inactive. Some other alternatives are GNU lightning and Mozilla's Nanojit. "
27,"I'm trying to grasp higher-order-polymophism in scala by implementing a very basic interface that describes a monad but I come across a problem that I don't really understand. I implemented the same with C++ and the code looks like this: #include &lt;iostream&gt; template &lt;typename T&gt; class Value { private: T value; public: Value(const T&amp; t) { this-&gt;value = t; } T get() { return this-&gt;value; } }; template &lt; template &lt;typename&gt; class Container &gt; class Monad { public: template &lt;typename A&gt; Container&lt;A&gt; pure(const A&amp; a); }; template &lt;template &lt;typename&gt; class Container&gt; template &lt;typename A&gt; Container&lt;A&gt; Monad&lt;Container&gt;::pure(const A&amp; a) { return Container&lt;A&gt;(a); } int main() { Monad&lt;Value&gt; m; std::cout &lt;&lt; m.pure(1).get() &lt;&lt; std::endl; return 0; } When trying to do the same with scala I fail: class Value[T](val value: T) class Monad[Container[T]] { def pure[A](a: A): Container[A] = Container[A](a) } object Main { def main(args: Array[String]): Unit = { val m = new Monad[Value] m.pure(1) } } The compiler complains about: [raichoo@lain:Scala]:434&gt; scalac highorder.scala highorder.scala:5: error: not found: value Container Container[A](a) ^ one error found What am I doing wrong here? There seems to be a fundamental concept I don't seem to understand about scala typeconstructors. Regards, raichoo ","The Monad trait in Scala would be declared as follows: trait Monad[M[_]] { def pure[A](a: =&gt; A): M[A] def bind[A,B](a: M[A], f: A =&gt; M[B]): M[B] } Note that it's parameterized with a type constructor M[_]. The bracketed underscore indicates that M is a type constructor of kind (* -&gt; *) (i.e. M takes some type A to construct a type M[A]). Your identity monad instance would then be written like this: class Value[A](a: =&gt; A) { lazy val value = a } implicit val identityMonad = new Monad[Value] { def pure[A](a: =&gt; A) = new Value(a) def bind[A,B](a: Value[A], f: A =&gt; Value[B]) = new Value(f(a.value).value) } This definition uses by-name parameters to achieve lazy semantics. Monad and other useful higher-kinded type classes are provided by the Scalaz library along with a lot of instances for the standard Java/Scala libraries. "
28,I have an Excel spreadsheed like the one shown below A B 10.02.2007 10 10.03.2007 12 Column A is date and B is price of share Now my task is calculate financial return of share using formula return = ln(price_today / price_yesterday) Now in another sreadsheet I need to create a new column called Return In this column i need to place formula like = ln(B2/B1) but on condition that this formula is only applied date in column A is in range StartDate &lt; currentDate &lt; EndDate. So I want to apply my formula only to specific period say only to 2007 year have new column placed in another spreadsheet starting from given location say A1 Please suggest ,"To reference a cell in another workbook you need to use something like [Book1.xlsx]Sheet1!$A$1 To find the year number you need to ensure that the column is a valid Date column, and use something like =IF(YEAR([Book1.xlsx]Sheet1!$A$1) = 2007,LN([Book1.xlsx]Sheet1!$B$2/[Book1.xlsx]Sheet1!$B$1), 0) And also maybe Excel: And Function to allow for the StartDate &lt; currentDate &lt; EndDate "
29,"I have a homework assignment where I need to take input from a file and continuously remove the first word in a line and append it to the end of the line until all combinations have been done. I really don't know where to begin and would be thankful for any sort of direction. The part that has me confused is that this is suppose to be performed without the use of arrays. I'm not just fishing for someone to solve the problem for me, I'm just looking for some direction. SAMPlE INPUT: Pipes and Filters Java Swing Software Requirements Analysis SAMPLE OUTPUT: Analysis Software Requirements Filters Pipes and Java Swing Pipes and Filters Requirements Analysis Software Software Requirements Analysis Swing Java ","A few tidbits that should help: when you call a function with a string, the string is split into multiple arguments (the positional parameters, named $n, where n are integers starting at 1) on the characters in the variable $IFS (which defaults to spaces, tabs and newlines) function first() { echo $1 } first one two three # outputs: ""one"" $* and $@ give you all the positional parameters, in order. Second, the special variable $# holds the number of arguments to a function. Third, shift discards the first positional parameter and moves up all the others by one. function tail() { shift echo $* } Fourth, you can capture the output of commands and functions using `...` or $(...) rest=`tail $*` Fifth, you can send the output of one command to the input of another using the pipe character (|): seq 5 | sort "
30,"Suppose I have a VC++ project containing number of Source (.cpp) files (e.g. 5), it will generate 5 .obj files (corresponding to my .cpp files not all kernel and OS layers including .obj files). My project includes xyz_1.cpp, xyz_2.cpp, xyz_3.cpp, xyz_4.cpp, and will corresponds with 4 respective .objs files. How can I get the names of these 4 .obj files at runtime? On runtime I need to check how many obj files there are and their names. I don't need all kernel or OS layer .obj's, I only need .obj's of my .cpp's. Regards, Usman ","The .obj file names are not standard. some compilers hay create ones that correspond to the .cpp files, others may create ones with random names (VC actually does that when configured with link time code generation) while others may skip this stage completely. So there is no well defined answer to your question. it is compiler and compilation flags dependent. Furthermore, there is no way to get this information that I know of. "
31,"my problem looks strange. when I enter www.upitr.com in browsers, it works, but for upitr.com, It works just in FireFox and Safari while it doesn't work in IE and Chrome. Any ideas? Thanks ","One can easily test this using nslookup, too: $ nslookup upitr.com Server: 8.8.4.4 Address: 8.8.4.4#53 Non-authoritative answer: *** Can't find upitr.com: No answer $ nslookup www.upitr.com Server: 8.8.4.4 Address: 8.8.4.4#53 Non-authoritative answer: Name: www.upitr.com Address: 68.71.136.29 And yep, some browsers try adding www. if the main domain doesn't resolve. "
32,"This is probably a really newbie question (well, I'm pretty sure it is), but I have a float that's being returned and I need a quick and efficient way of turning it into an int. Pretty simple, but I have an exception. If the remainder of the float is anything other than .0 then I want to increment the int. Some quick examples: Float = 98.0, Int = 98 Float = 98.1, Int = 99 Float = 6.6, Int = 7 etc. ",This should do it: int myInt = (int)Math.Ceiling(myFloat); 
